company,text,class
mercado_livre,Sua privacidade: quais são os seus direitos?,13
mercado_livre,Como e que tipo de informações nós processamos,0
mercado_livre,Privacidade,0
mercado_livre,Conﬁra para saber mais sobre quais dados coletamos e tratamos,1
mercado_livre,Para que usamos seus dados,2
mercado_livre,Conﬁra para saber mais sobre como compartilhamos seus dados pessoais,4
mercado_livre,Como compartilhamos seus dados,4
mercado_livre,Conﬁra para saber mais sobre como compartilhamos seus dados pessoais,4
mercado_livre,Como usamos cookies no Mercado Livre,5
mercado_livre,Saiba mais sobre as bases legais que utilizamos no tratamento dos seus dados pessoais,0
mercado_livre,"CNPJ n.º 03.007.331/0001-41 / Av. das Nações Unidas, nº 3.003, Bonﬁm, Osasco/SP - CEP 06233-903 - empresa do grupo Mercado Livre.",0
mercado_livre,Alterações na declaração de privacidade,11
mercado_livre,Trabalhe conosco Termos e condições Como cuidamos da sua privacidade Acessibilidade Contato Informações sobre seguros,0
mercado_livre,Copyright © 1999-2023 Ebazar.com.br LTDA.,0
mercado_livre,Mais informações,0
mercado_livre,,0
magalu,"Quando você realiza uma compra ou contrata um serviço no Magalu ou nas empresas do nosso grupo econômico, você nos fornece alguns dados pessoais com o objetivo de viabilizar a sua operação. O Magalu preza pela segurança dos seus dados, pelo respeito a sua privacidade e pela transparência com você e, por isso, dedicamos este documento para explicar como os seus dados pessoais serão tratados pelo Magalu e quais são as medidas que aplicamos para mantê-los seguros.",0
magalu,"Antes de mais nada, nos apresentamos, nós somos o Magazine Luiza S/A, inscrito no CNPJ 47.960.950/0001-21, com sede na Cidade de Franca, Estado de São Paulo, na Rua Voluntários da Franca, 1.465, Centro, e segundo a definição trazida pela Lei Geral de Proteção de Dados “LGPD” (Lei Federal nº 13.709.2018), na maior parte do tempo seremos o controlador das suas informações, sendo assim, responsável por definir o que acontece com estes dados e por protegê-los.",0
magalu,"Para facilitar a compreensão desta política, todas as vezes que encontrar os termos “Magalu”, “nós” ou “nossos”, estamos nos referindo ao controlador dos seus dados pessoais, ou seja, as empresas do Grupo Magazine Luiza ou simplesmente Grupo Magalu e, todas as vezes que ler “usuário”, “você”, “seu” ou “sua”, nos referimos a você, nosso cliente ou usuário das nossas plataformas.",0
magalu,"Toda vez que mencionarmos o Grupo Magalu, estamos fazendo referência às nossas afiliadas, coligadas, controladas e controladoras. Você poderá acessar as empresas que compõem nosso grupo econômico no site de Relações com Investidores, por meio do link https://ri.magazineluiza.com.br.",0
magalu,QUAIS DADOS SÃO COLETADOS PELO GRUPO MAGALU,1
magalu,COMO NÓS UTILIZAMOS OS SEUS DADOS PESSOAIS,0
magalu,COM QUEM NÓS PODEMOS COMPARTILHAR OS DADOS PESSOAIS,4
magalu,ARMAZENAMENTO E SEGURANÇA DOS DADOS PESSOAIS,9
magalu,COOKIES E TECNOLOGIAS DE MONITORAMENTO,5
magalu,TRANSFERÊNCIA INTERNACIONAL DE DADOS PESSOAIS,10
magalu,SEUS DIREITOS COMO TITULAR DOS DADOS PESSOAIS,13
magalu,RETENÇÃO E EXCLUSÃO DOS SEUS DADOS PESSOAIS,7
magalu,ALTERAÇÕES DESTA POLÍTICA DE PRIVACIDADE,11
magalu,FALE CONOSCO,8
globo,Política de privacidade,0
globo,Dados coletados,1
globo,Dados coletados,1
globo,Como usamos,2
globo,Como compartilhamos,4
globo,Como protegemos,0
globo,Contato,8
globo,Baixar em PDF,0
globo,O BO  PRIVACIDADE PRIVACIDADE,0
globo,Início Política,0
globo,de privacidade,0
globo,Gestão de dados,0
globo,Pelo seu cadastro da Conta Globo,0
globo,Dados de outros cadastros da Globo,0
globo,Pela sua navegação nos nossos sites,0
globo,Através de terceiros,0
globo,Através do uso de cookies,5
globo,Você no controle,0
globo,"Onde armazenamos, tratamos e transferimos os seus Dados",9
globo,Como usamos os seus dados,2
globo,Fornecer Serviços a você,0
globo,Nos comunicar com você,0
globo,Nos comunicar com você,0
globo,Prover segurança e proteger direitos,0
globo,Personalizar a sua experiência,0
globo,"Aprimorar, analisar os Serviços e",0
globo,"Aprimorar, analisar os Serviços e desenvolver novos produtos e serviços",0
globo,Cumprir nossas obrigações legais e regulatórias,0
globo,Promover o bem-estar social,0
globo,Utilizar Dados obtidos de terceiros,0
globo,Utilizar Dados obtidos de terceiros,0
globo,Como tratamos Dados de menores,3
globo,Como compartilhamos seus dados,4
globo,Quais empresas Globo são as responsáveis pelo tratamento dos seus Dados,0
globo,Terceiros e parceiros,0
globo,Como Parceiros poderão coletar Dados sobre você a partir dos serviços,0
globo,Como protegemos os seus dados,0
globo,Dados anonimizados,0
globo,Como mantemos a segurança dos seus Dados,0
globo,Contato,8
globo,Como podemos avisar você sobre alterações na Política,11
globo,Como entrar em contato,0
globo,Essa Política é parte de um processo contínuo que busca,0
globo,utilizar suas informações da maneira mais segura e,0
globo,"ética. Totalmente pensado para você. Por isso, é muito",0
globo,importante para gente ouvir de você e conhecer suas,0
globo,impressões sobre o que conversamos aqui. O,0
globo,encarregado pelas questões de privacidade na Globo é a Andreia Saad. Você poderá entrar em contato,0
globo,preenchendo o formulário abaixo:,0
globo,Finalidade do contato  *,0
globo,Nome completo  *,0
globo,Email cadastrado na Globo  *,0
globo,"(Se você não possui cadastro na Globo, informe outro",0
globo,email),0
globo,Enviar,0
globo,Selecione uma ﬁnalidade,0
globo,© Copyright 2000-2023 Globo Comunicação e Participações S.A.,0
globo,minha conta central de ajuda,0
globo,Privacidade   -  Termos,0
crunchyroll,Política de Privacidade e Cookies,5
crunchyroll,PRINCIPAIS PONTOS,0
crunchyroll,1. INFORMAÇÕES QUE VOCÊ FORNECE,1
crunchyroll,2. INFORMAÇÕES QUE RECEBEMOS DE TERCEIROS,0
crunchyroll,3. COMO USAMOS SUAS INFORMAÇÕES,2
crunchyroll,4. COOKIES E TECNOLOGIA DE RASTREAMENTO SIMILAR,5
crunchyroll,Como gerenciar tecnologias de rastreamento,0
crunchyroll,Tecnologias de identiﬁcação de localização,0
crunchyroll,"PlayStation, Apple iOS, dispositivos Android e outros dispositivos conectados",0
crunchyroll,5. COMO COMPARTILHAMOS SEUS DADOS PESSOAIS,4
crunchyroll,6. TRANSFERÊNCIAS INTERNACIONAIS DOS SEUS DADOS PESSOAIS,10
crunchyroll,7. SEUS DIREITOS,13
crunchyroll,8. SEGURANÇA DE DADOS,0
crunchyroll,9. OUTRAS QUESTÕES IMPORTANTES,0
crunchyroll,10. ALTERAÇÕES A ESTA POLÍTICA,11
crunchyroll,11. ENTRE EM CONTATO CONOSCO,8
uol,Glossário,0
uol,2. Coleta dos Dados,1
uol,. Uso dos Dados,2
uol,4. Armazenamento dos Dados,9
uol,5. Disposições Gerais:,0
uol,6. Lei Aplicável e Jurisdição,0
uol,7. Condições específicas,0
steam,Definições,0
steam,2. Por que a Valve coleta e processa dados,2
steam,3. Os tipos e fontes de dados que coletamos,1
steam,4. Por quanto tempo os dados são armazenados,7
steam,5. Quem tem acesso aos dados,0
steam,6. Seus direitos e mecanismos de controle,13
steam,Crianças,3
steam,8. Informações de Contato,8
aliexpress, RECOLHA DE INFORMAÇÃO.,1
aliexpress,UTILIZAÇÃO DE DADOS PESSOAIS.,0
aliexpress,DIVULGAÇÃO OU PARTILHA DE DADOS PESSOAIS.,0
aliexpress,CONSERVAÇÃO,0
aliexpress,DIREITOS RELATIVOS A DADOS PESSOAIS,13
aliexpress,COOKIES,5
aliexpress,MENORES,3
aliexpress,"H. MEDIDAS DE SEGURANÇA
",0
aliexpress,"I.  ALTERAÇÕES À PRESENTE POLÍTICA DE PRIVACIDADE.
",11
aliexpress,J. VISITANTES DA UNIÃO EUROPEIA E DO REINO UNIDO,0
aliexpress,"K. VISITANTES DOS ESTADOS UNIDOS
",0
aliexpress,"L.  VISITANTES DO BRASIL
",0
aliexpress,M. TRANSFERÊNCIAS INTERNACIONAIS DE DADOS PESSOAIS,10
aliexpress,IDIOMA,0
aliexpress,O. COMO ENTRAR EM CONTACTO CONNOSCO.,8
shopee,INTRODUÇÃO,0
shopee,"2. QUANDO SHOPEE RECOLHERÁ DADOS PESSOAIS?
",0
shopee,3. QUE DADOS PESSOAIS SHOPEE VAI COLETAR?,1
shopee,4. COLETA DE OUTROS DADOS,1
shopee,COOKIES,5
shopee,6. COMO USAMOS AS INFORMAÇÕES QUE VOCÊ NOS FORNECE?,2
shopee,7. COMO A SHOPEE PROTEGE E RETÉM AS INFORMAÇÕES DO CLIENTE?,0
shopee,8. A SHOPEE DIVULGA AS INFORMAÇÕES COLETADAS DE SEUS VISITANTES PARA ENTIDADES EXTERNAS?,4
shopee,9. INFORMAÇÃO SOBRE CRIANÇAS,3
shopee,10. INFORMAÇÕES COLETADAS POR TERCEIROS,0
shopee,11. ISENÇÃO DE RESPONSABILIDADE RELATIVA A SEGURANÇA E SITES DE TERCEIROS,0
shopee,12. A SHOPEE TRANSFERIRÁ SUAS INFORMAÇÕES PARA O EXTERIOR?,10
shopee,"13. COMO VOCÊ PODE RETIRAR O CONSENTIMENTO, SOLICITAR ACESSO OU CORRIGIR AS INFORMAÇÕES QUE VOCÊ FORNECEU?",0
shopee,"14. PERGUNTAS, PREOCUPAÇÕES OU RECLAMAÇÕES? CONTATE-NOS",8
olx,"1.  A que se aplica esta Política de Privacidade
",0
olx,"Informações coletadas, recebidas e armazenadas",1
olx,Uso da Informação,2
olx,Monitoramento,0
olx,Compartilhamento de Informação,4
olx,Controle do Usuário,0
olx,Responsabilidades dos Usuários,0
olx,Direitos do Usuário,13
olx,Dados de Crianças e Adolescentes,3
olx,Interações Com Sites De Terceiros,0
olx,Término do Tratamento,0
olx,Alteração na Política de Privacidade,11
olx,"Identificação do Controlador e do Encarregado de Proteção de
Dados",0
bet365,Política de Privacidade (Clientes),0
bet365,Quem Somos,0
bet365,Entrar em Contacto Connosco,8
bet365,Protecção dos seus Dados Pessoais,0
    bet365,Legítimos Interesses,0
bet365,Por Quanto Tempo Armazenamos os seus Dados Pessoais,7
bet365,Porque Processamos os seus Dados Pessoais,0
bet365,Informação Recolhida,1
bet365,Chamadas Telefónicas,0
bet365,Funções Sociais dos Nossos Produtos,0
bet365,Utilização de Cookies,5
bet365,Dados Pessoais que Partilhamos com os Outros,4
bet365,Dados Transferidos Para Fora do EEE,10
bet365,Os seus Direitos Sobre os seus Dados Pessoais,13
bet365,Alterações à Nossa Política de Privacidade,11
